Frame, Time (ms), Delta (ms) , Memory (mb)
  395,4956.523,10.156,4547
  396,4968.544,12.021,4547
  397,4981.378,12.834,4547
  398,4992.955,11.577,4547
  399,5004.137,11.182,4547
  400,5016.624,12.487,4547
  401,5029.288,12.664,4547
  402,5040.232,10.944,4547
  403,5052.756,12.524,4547
  404,5064.839,12.083,4547
  405,5076.486,11.647,4547
  406,5087.997,11.511,4547
  407,5099.569,11.572,4547
  408,5111.544,11.975,4549
  409,5123.076,11.532,4549
  410,5135.538,12.462,4547
  411,5147.728,12.190,4547
  412,5159.287,11.559,4547
  413,5170.843,11.556,4547
  414,5182.773,11.930,4547
  415,5194.582,11.809,4547
  416,5205.795,11.213,4547
  417,5217.350,11.555,4547
  418,5229.987,12.637,4547
  419,5240.635,10.648,4547
  420,5253.188,12.553,4547
  421,5265.062,11.874,4547
  422,5278.113,13.051,4547
  423,5288.095, 9.982,4547
  424,5300.236,12.141,4547
  425,5312.363,12.127,4547
  426,5323.862,11.499,4547
  427,5335.726,11.864,4547
  428,5347.690,11.964,4547
  429,5359.570,11.880,4547
  430,5371.126,11.556,4547
  431,5383.063,11.937,4547
  432,5395.075,12.012,4547
  433,5406.463,11.388,4547
  434,5417.776,11.313,4547
  435,5428.830,11.054,4547
  436,5441.863,13.033,4547
  437,5453.498,11.635,4547
  438,5465.464,11.966,4547
  439,5477.355,11.891,4547
  440,5489.597,12.242,4547
  441,5501.488,11.891,4547
  442,5512.186,10.698,4547
  443,5524.603,12.417,4547
  444,5536.428,11.825,4547
  445,5546.894,10.466,4547
  446,5560.034,13.140,4547
  447,5571.328,11.294,4547
  448,5583.142,11.814,4547
  449,5595.218,12.076,4547
  450,5606.750,11.532,4547
  451,5618.127,11.377,4547
  452,5628.656,10.529,4547
  453,5641.004,12.348,4547
  454,5653.013,12.009,4547
  455,5665.063,12.049,4547
  456,5676.240,11.178,4547
  457,5687.636,11.396,4547
  458,5699.646,12.009,4547
  459,5711.966,12.321,4547
  460,5723.482,11.516,4547
  461,5735.042,11.559,4547
  462,5745.843,10.802,4547
  463,5757.298,11.455,4547
  464,5769.818,12.520,4547
  465,5781.672,11.854,4547
  466,5793.633,11.961,4547
  467,5804.223,10.590,4547
  468,5815.947,11.724,4547
  469,5828.344,12.397,4547
  470,5839.579,11.235,4547
  471,5850.735,11.156,4547
  472,5862.093,11.358,4547
  473,5874.022,11.929,4547
  474,5885.881,11.859,4547
  475,5898.246,12.365,4547
  476,5909.766,11.520,4547
  477,5921.021,11.255,4547
  478,5933.766,12.745,4547
  479,5946.090,12.324,4547
  480,5957.902,11.812,4547
  481,5969.195,11.293,4547
  482,5979.631,10.436,4547
  483,5992.049,12.418,4547
  484,6003.513,11.464,4547
  485,6015.451,11.938,4547
  486,6027.328,11.877,4547
  487,6038.876,11.548,4547
  488,6050.479,11.603,4547
  489,6062.548,12.069,4547
  490,6073.830,11.282,4547
  491,6086.148,12.318,4547
  492,6096.015, 9.867,4547
  493,6109.685,13.670,4547
  494,6120.157,10.472,4547
  495,6132.133,11.976,4547
  496,6143.805,11.672,4547
  497,6154.994,11.189,4547
  498,6166.538,11.544,4547
  499,6179.004,12.466,4547
  500,6189.943,10.939,4547
  501,6202.125,12.182,4547
  502,6213.975,11.850,4547
  503,6225.138,11.163,4547
  504,6236.130,10.992,4547
  505,6248.453,12.323,4547
  506,6260.155,11.702,4547
  507,6271.804,11.649,4547
  508,6283.737,11.933,4547
  509,6296.219,12.482,4547
  510,6309.183,12.964,4547
  511,6319.532,10.349,4547
  512,6330.315,10.783,4547
  513,6343.437,13.121,4547
  514,6353.627,10.191,4547
  515,6365.675,12.048,4547
  516,6377.231,11.556,4547
  517,6389.313,12.082,4547
  518,6400.369,11.056,4547
  519,6411.207,10.837,4547
  520,6423.478,12.271,4547
  521,6434.942,11.465,4547
  522,6446.971,12.029,4547
  523,6458.198,11.227,4547
  524,6470.059,11.861,4547
  525,6481.911,11.852,4547
  526,6493.594,11.683,4547
  527,6504.428,10.834,4547
